key,input,activity10
CGJMVNVWQHPASW-UHFFFAOYSA-N,NC(=O)c1cnc2ccccc2n1,0.09158415841584158
JVMUEYFSUCQOKO-UHFFFAOYSA-N,NCCCNCCCCN1CC1,0.5415841584158416
UBZIRRGOXVDJQB-UHFFFAOYSA-N,OC1c2ccccc2C(O)C2OC12,0.14356435643564355
ZNQFZPCFVNOXJQ-UHFFFAOYSA-N,CC(=O)N(C)C(C)=O,0.02103960396039604
ATFRCSUHHNRRLZ-UHFFFAOYSA-N,CNc1ncnn2cccc12,0.2871287128712871
IOWZFEODXQZVRF-VNKDHWASSA-N,CC/C=C/C=C/OCC(O)CO,0.1878123526638378
XVHNGLQDZFUCKO-UHFFFAOYSA-N,O=c1[nH]ccc2cnccc12,0.1608910891089109
XEEYSDHEOQHCDA-UHFFFAOYSA-N,C=C(C)CS(=O)(=O)O,0.029950495049504953
IHDSFYHRZSBSGS-UHFFFAOYSA-N,NC(C(=O)O)C1CC2C=CC1C2,0.10726072607260727
FWNNQQDQXAMXMK-UHFFFAOYSA-N,CC(N)Cc1cc(O)c(O)cc1O,0.0801980198019802
UEGOHPVSKUDFJE-UHFFFAOYSA-N,NCCc1c[nH]c(C(F)(F)F)n1,0.38613861386138615
CFHPNABTZSOBQJ-UHFFFAOYSA-N,Cc1cccc(NC(=N)N=C(N)N)c1,0.16971947194719472
JVGVDSSUAVXRDY-QMMMGPOBSA-N,O=C(O)[C@@H](O)Cc1ccc(O)cc1,0.048679867986798686
XMBWDFGMSWQBCA-AHCXROLUSA-N,[123IH],0.024752475247524754
RMRXSWXCXDHSBA-UHFFFAOYSA-N,NCCc1nc[nH]c1Cl,0.31435643564356436
DVLGIQNHKLWSRU-UHFFFAOYSA-N,COC(=O)c1c[nH]cn1,0.0655940594059406
CXDZNCNRYCJVBG-UHFFFAOYSA-N,CC(N)P(=O)(O)CCC(=O)O,0.05627062706270627
ZAKAONRTRWRIJT-UHFFFAOYSA-N,CCOC(=N)CC(=O)OCC,0.142020273455917
ZPIAUDCRBBFYAR-UHFFFAOYSA-N,N=C(N)Nc1ccc(NC(=N)N)cc1,0.08168316831683169
YZGQDNOIGFBYKF-UHFFFAOYSA-N,CCOCC(=O)O,0.05538661008958038
FJHZBXIXOWMDDQ-WZUFQYTHSA-N,N#C/C(=N/NC(=N)N)c1cccs1,0.14249174917491747
CGQCWMIAEPEHNQ-QMMMGPOBSA-N,COc1cc([C@H](O)C(=O)O)ccc1O,0.0627062706270627
DTQHBGFFKQIZOV-NSCUHMNNSA-N,Cn1ncc(/C=C/C#N)cc1=O,0.2194719471947195
HQPMZDTTZSLKKL-UHFFFAOYSA-N,C/N=C(\S)c1nccnc1N,0.1363036303630363
UVOPIJQQMRLUAD-UHFFFAOYSA-N,Cc1[nH]ccc(=O)c1O,0.0900990099009901
AXFYFNCPONWUHW-UHFFFAOYSA-N,CC(C)(O)CC(=O)O,0.06617161716171617
OCQICQZUUHJWGZ-BYPYZUCNSA-N,CC1(C)N[C@H](C(=O)O)CS1,0.12722772277227723
GNOIPBMMFNIUFM-UHFFFAOYSA-N,CN(C)P(=O)(N(C)C)N(C)C,0.10610561056105612
GWXABUXUVQEBBW-UHFFFAOYSA-N,OC1Cc2ccccc2N1,0.18564356435643564
ZKMZPXWMMSBLNO-UHFFFAOYSA-N,O=C1CN2CCC1CC2,0.49876237623762376
CBAZYOHUXOJCOD-UHFFFAOYSA-N,CCOc1noc2c1CCNCC2,0.4183168316831683
QNAMAHPSRMVTQM-UHFFFAOYSA-N,CCCCc1cc(-c2nnn[nH]2)n[nH]1,0.47689768976897695
VBOYONXEJMSAAT-UHFFFAOYSA-N,CC1=C(CO)C(=O)CC1,0.08795379537953794
PHOJOSOUIAQEDH-UHFFFAOYSA-N,O=C(O)CCCCO,0.0902876001885903
JYVXNLLUYHCIIH-ZCFIWIBFSA-N,C[C@@]1(O)CCOC(=O)C1,0.1061056105610561
NQIDIIMAHJAXGD-UHFFFAOYSA-N,O=C(O)Cc1ccc(O)c(C(=O)O)c1,0.0952970297029703
IVDFJHOHABJVEH-UHFFFAOYSA-N,CC(C)(O)C(C)(C)O,0.18110561056105612
OIADDWVYJUDTDW-UHFFFAOYSA-N,CC1=NN2C(=O)CC(=O)N=C2S1,0.1547029702970297
FCVQWDOQFWTHET-YFHOEESVSA-N,NC(=O)/C(=N\O)c1ccccc1,0.15841584158415842
WGKWTPLXGGHZAR-UHFFFAOYSA-N,CC(C[PH](=O)C(C)N)C(=O)O,0.056270627062706274
WYAUHKUSKIIGEI-UHFFFAOYSA-N,N#CSCC(=O)O,0.09834983498349835
WDAATBIZVHOPMI-UHFFFAOYSA-N,COc1ccc(O)c(CCN)c1,0.25742574257425743
JYSWEDYPQJOEPO-UHFFFAOYSA-N,Cc1cc(C)n(CC(=O)O)n1,0.10891089108910891
JRHIBAUUJNOAAB-UHFFFAOYSA-N,Cc1cccnc1CC(O)C(=O)O,0.08168316831683169
AAPGLCCSVSGLFH-UHFFFAOYSA-N,O=C1CCNC(=O)c2[nH]ccc21,0.20214521452145215
INSWZAQOISIYDT-UHFFFAOYSA-N,c1cnc2nccn2c1,0.1188118811881188
BFOLTCOQDQOJOY-UHFFFAOYSA-N,CCCNCP(=O)(O)CN,0.23077557755775577
UJBOAPQQVIKFHR-UHFFFAOYSA-N,CC(C)C(=O)CP(=O)(O)O,0.10115511551155114
TYFNBAWXKVCFMT-UHFFFAOYSA-N,NCC(O)c1ccc(O)c(F)c1,0.08102310231023102
LLXJPNQWAGNDDN-UHFFFAOYSA-N,Nc1ccc2c(c1)CNC(=O)C2,0.2524752475247525
LNHURPJLTHSVMU-UHFFFAOYSA-N,ON=C1C=CC(=NO)C=C1,0.056270627062706274
OLNZOLAKUZHHFC-WDSKDSINSA-N,CCOC(=O)N[C@H]1CC[C@@H]1N,0.10793257897218292
AZQFNDSMVBYRQK-UHFFFAOYSA-N,CN(N)CC(O)c1ccccc1,0.12169966996699672
UNDFYAIFIIFDIC-ZETCQYMHSA-N,CC(C)C[C@@H]1NCCNC1=O,0.20544554455445543
SRHWTZAMPFLHAX-IZZDOVSWSA-N,C/C(=N\NC(N)=S)c1ccncc1,0.18844884488448843
JQBCKRZQAMELAD-UHFFFAOYSA-N,O=C1CCCN1O,0.10346534653465346
LPJCMSSFNLGRJD-UHFFFAOYSA-N,CC(C)SCCNCCN,0.35148514851485146
DFEMJYIRAXUQQB-UHFFFAOYSA-N,CCC1CCOC1=O,0.21493399339933997
KFORAYOQBPRFHN-UHFFFAOYSA-N,CCc1cc(CN)c(O)c(CN)c1,0.14603960396039603
MFIALBVUWLNEGU-UHFFFAOYSA-N,O=c1[nH]c2cnccc2cc1O,0.12211221122112212
PFTRYAJJOLIQIG-UHFFFAOYSA-N,CC(NO)C(C)(C)NO,0.10140264026402639
ZAJAQTYSTDTMCU-UHFFFAOYSA-N,Nc1cccc(S(=O)(=O)O)c1,0.13861386138613863
IIGUXNQRQSATOU-UHFFFAOYSA-N,CCOC(=O)CN(C)N=O,0.1598184818481848
HIBIJRSNVYGSBA-UHFFFAOYSA-N,N#Cc1ncn2ccc(=O)[nH]c12,0.23143564356435645
RDFMDVXONNIGBC-LURJTMIESA-N,CCCCC[C@H](N)C(=O)O,0.18646864686468645
GUCPYIYFQVTFSI-UHFFFAOYSA-N,COc1ccc(C(N)=O)cc1,0.2079207920792079
FEPALPYILGLEJX-UHFFFAOYSA-N,CC(Oc1ccccc1F)C(=O)NN,0.1591230551626591
JUVSRZCUMWZBFK-UHFFFAOYSA-N,Cc1ccc(N(CCO)CCO)cc1,0.3292079207920792
MQVYDIFXDZQMRX-UHFFFAOYSA-N,Cc1nonc1CN(C)C,0.22772277227722773
QSTZQJMQOOWRNP-UHFFFAOYSA-N,COC(=O)c1cc[n+](C)cc1,0.06435643564356436
TUGSJNQAIMFEDY-UHFFFAOYSA-N,COC(=O)c1ccc(C(=O)OC)nc1,0.12706270627062705
TXRCHGMTTXKTPE-NTSWFWBYSA-N,CCC[C@@H](O)[C@H](C)N,0.10412541254125414
VJYCHPGHOKIDDH-UHFFFAOYSA-N,Nc1nc(CCC(=O)O)cs1,0.15841584158415842
YLVVAWCDANPADI-UHFFFAOYSA-N,O=C1CN2Cc3ccccc3N=C2N1,0.2995049504950495
JYJGRWODSHEFGY-UHFFFAOYSA-N,BrC1NC=CN1,0.17986798679867985
CFMZSMGAMPBRBE-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)N1O,0.1608910891089109
BAEFCXUMOHTMRJ-UHFFFAOYSA-N,CC12C3C4C1C1C2C3C41CO,0.12846534653465344
CBOPDFIRBQHXIG-LUAWRHEFSA-N,CO/N=C(/C#N)C1=CCCN(C)C1,0.17013201320132013
HFLDFQPTMPEWII-UHFFFAOYSA-N,CC(C)c1noc(C2CN=CNC2)n1,0.29455445544554454
YALMGFWDBZZMMB-UHFFFAOYSA-N,CN(C)CCCNCCC#N,0.5792079207920792
PYEQXZOIQJWYAH-UHFFFAOYSA-N,O=C1C=CC(=O)C(Br)=C1,0.1051980198019802
PERFWRNKWQXMCO-UHFFFAOYSA-N,CC(C)n1cc2c(N)ncnc2n1,0.1443894389438944
KHEBQHMBQSIODT-UHFFFAOYSA-N,CNc1nccn2ccnc12,0.15346534653465346
YAUZNKLMKRQDAM-UHFFFAOYSA-O,CNC(=O)OCC[N+](C)(C)C,0.12850070721357848
RXBROZSQDAUFHD-UHFFFAOYSA-N,CC12C(=O)OC(=O)C1(C)C1C=CC2O1,0.15346534653465346
NIHBOFIECFLYQB-UHFFFAOYSA-N,CC1CCN(CCCN=C(N)N)CC1,0.4207920792079208
JUVQJNOEIVXUFQ-UHFFFAOYSA-N,Cc1nnc(NC2=NCCC2)o1,0.2590759075907591
MLAOOSRHRBRHIZ-UHFFFAOYSA-N,Cn1ccc(=O)c(O)c1F,0.077007700770077
NRUOPZCNSMPDPG-YFKPBYRVSA-N,C[C@H](N)C(=S)N1CCSC1,0.05825082508250826
ABSNGNUGFQIDDO-UHFFFAOYSA-N,N=C(N)NCc1ccccc1,0.14645214521452143
GWZMWHWAWHPNHN-UHFFFAOYSA-N,C=CC(=O)OCC(C)O,0.10247524752475247
HPKKEDGOBIXMHS-UHFFFAOYSA-N,COc1cccc(CC(N)=O)c1,0.15181518151815182
KSBBJKNYPGSRAM-UHFFFAOYSA-N,CC(=O)Nc1nnc2n1CCS2,0.16204620462046204
WPUARJMRQQUYAY-UHFFFAOYSA-N,COCC1Cn2cc([N+](=O)[O-])nc2O1,0.15346534653465346
KLYVTOHAEIIQEP-UHFFFAOYSA-N,CC(C)(CO)SC1CC(=O)N1,0.14026402640264024
DQLYTFPAEVJTFM-ZETCQYMHSA-N,N[C@H](C(=O)O)c1cccc(O)c1,0.07673267326732673
WADZRHBGMFVDKY-UHFFFAOYSA-N,COC(=O)Nc1ccncc1N,0.06930693069306931
YQGNRERLSAOKJL-UHFFFAOYSA-N,CCOC(=O)CC(=O)Nc1cc[nH]n1,0.13358085808580858
GUOVBFFLXKJFEE-UHFFFAOYSA-N,O=C(O)c1ccc2[nH]nnc2c1,0.07425742574257425
NSTPXGARCQOSAU-UHFFFAOYSA-N,O=CNC(Cc1ccccc1)C(=O)O,0.08292079207920793
FJNCPBNCTRDXFB-UHFFFAOYSA-N,CCCCN(N=O)C(=N)N[N+](=O)[O-],0.19389438943894388
JUTHHQRVOOOAQP-RNFRBKRXSA-N,O=C1COC[C@H]2OCCC[C@H]2O1,0.40181518151815176
ZLPVUISIXREHMY-NSCUHMNNSA-N,C/C=C/OC(=O)C1CN=CNC1,0.14207920792079207
GOVNVPJYMDJYSR-UHFFFAOYSA-N,CC(=O)OCCCC(=O)O,0.0622937293729373
