Inchi_key,Smiles
KTEPQLOOQDLKHF-BQBZGAKWSA-N,C[C@H]1CNC[C@@H]1c1c[nH]cn1
FCBGYAWEDJSZGV-UWVGGRQHSA-N,N[C@H]1Cc2ccccc2C[C@H](O)C1=O
NSZLSZUYGCHLLY-UHFFFAOYSA-N,O=c1[nH]cnc2c1N1CCC2CC1
OVOOMKQEFDAYTF-UHFFFAOYSA-N,Cc1cc(C)nc(NCCC(=O)O)n1
NOIRTYMOEFHJRM-UHFFFAOYSA-N,COCN1C(=O)c2ccccc2C1=O
CGJMVNVWQHPASW-UHFFFAOYSA-N,NC(=O)c1cnc2ccccc2n1
JVMUEYFSUCQOKO-UHFFFAOYSA-N,NCCCNCCCCN1CC1
UBZIRRGOXVDJQB-UHFFFAOYSA-N,OC1c2ccccc2C(O)C2OC12
ZNQFZPCFVNOXJQ-UHFFFAOYSA-N,CC(=O)N(C)C(C)=O
ATFRCSUHHNRRLZ-UHFFFAOYSA-N,CNc1ncnn2cccc12
IOWZFEODXQZVRF-VNKDHWASSA-N,CC/C=C/C=C/OCC(O)CO
XVHNGLQDZFUCKO-UHFFFAOYSA-N,O=c1[nH]ccc2cnccc12
XEEYSDHEOQHCDA-UHFFFAOYSA-N,C=C(C)CS(=O)(=O)O
IHDSFYHRZSBSGS-UHFFFAOYSA-N,NC(C(=O)O)C1CC2C=CC1C2
FWNNQQDQXAMXMK-UHFFFAOYSA-N,CC(N)Cc1cc(O)c(O)cc1O
UEGOHPVSKUDFJE-UHFFFAOYSA-N,NCCc1c[nH]c(C(F)(F)F)n1
CFHPNABTZSOBQJ-UHFFFAOYSA-N,Cc1cccc(NC(=N)N=C(N)N)c1
JVGVDSSUAVXRDY-QMMMGPOBSA-N,O=C(O)[C@@H](O)Cc1ccc(O)cc1
XMBWDFGMSWQBCA-AHCXROLUSA-N,[123IH]
RMRXSWXCXDHSBA-UHFFFAOYSA-N,NCCc1nc[nH]c1Cl
DVLGIQNHKLWSRU-UHFFFAOYSA-N,COC(=O)c1c[nH]cn1
CXDZNCNRYCJVBG-UHFFFAOYSA-N,CC(N)P(=O)(O)CCC(=O)O
ZAKAONRTRWRIJT-UHFFFAOYSA-N,CCOC(=N)CC(=O)OCC
ZPIAUDCRBBFYAR-UHFFFAOYSA-N,N=C(N)Nc1ccc(NC(=N)N)cc1
YZGQDNOIGFBYKF-UHFFFAOYSA-N,CCOCC(=O)O
FJHZBXIXOWMDDQ-WZUFQYTHSA-N,N#C/C(=N/NC(=N)N)c1cccs1
CGQCWMIAEPEHNQ-QMMMGPOBSA-N,COc1cc([C@H](O)C(=O)O)ccc1O
DTQHBGFFKQIZOV-NSCUHMNNSA-N,Cn1ncc(/C=C/C#N)cc1=O
HQPMZDTTZSLKKL-UHFFFAOYSA-N,C/N=C(\S)c1nccnc1N
UVOPIJQQMRLUAD-UHFFFAOYSA-N,Cc1[nH]ccc(=O)c1O
AXFYFNCPONWUHW-UHFFFAOYSA-N,CC(C)(O)CC(=O)O
OCQICQZUUHJWGZ-BYPYZUCNSA-N,CC1(C)N[C@H](C(=O)O)CS1
GNOIPBMMFNIUFM-UHFFFAOYSA-N,CN(C)P(=O)(N(C)C)N(C)C
GWXABUXUVQEBBW-UHFFFAOYSA-N,OC1Cc2ccccc2N1
ZKMZPXWMMSBLNO-UHFFFAOYSA-N,O=C1CN2CCC1CC2
CBAZYOHUXOJCOD-UHFFFAOYSA-N,CCOc1noc2c1CCNCC2
QNAMAHPSRMVTQM-UHFFFAOYSA-N,CCCCc1cc(-c2nnn[nH]2)n[nH]1
VBOYONXEJMSAAT-UHFFFAOYSA-N,CC1=C(CO)C(=O)CC1
PHOJOSOUIAQEDH-UHFFFAOYSA-N,O=C(O)CCCCO
JYVXNLLUYHCIIH-ZCFIWIBFSA-N,C[C@@]1(O)CCOC(=O)C1
