"ChEMBL ID"	"Name"	"Synonyms"	"Type"	"Max Phase"	"Molecular Weight"	"Targets"	"Bioactivities"	"AlogP"	"Polar Surface Area"	"HBA"	"HBD"	"#RO5 Violations"	"#Rotatable Bonds"	"Passes Ro3"	"QED Weighted"	"CX Acidic pKa"	"CX Basic pKa"	"CX LogP"	"CX LogD"	"Aromatic Rings"	"Structure Type"	"Inorganic Flag"	"Heavy Atoms"	"HBA (Lipinski)"	"HBD (Lipinski)"	"#RO5 Violations (Lipinski)"	"Molecular Weight (Monoisotopic)"	"Np Likeness Score"	"Molecular Species"	"Molecular Formula"	"Smiles"	"Inchi Key"
"CHEMBL2133967"	""	""	"Small molecule"	""	"178.19"	"8"	"8"	"0.20"	"73.12"	"3"	"2"	"0"	"0"	"N"	"0.56"	"9.40"	"None"	"0.13"	"0.13"	"0"	"MOL"	"-1"	"13"	"4"	"2"	"0"	"178.0742"	"0.40"	"NEUTRAL"	"C9H10N2O2"	"N#CC1=C2CCCCC2(O)NC1=O"	"BRXPUVKBOVEUEM-UHFFFAOYSA-N"
"CHEMBL1222062"	""	"(S)-Methyl 2-Aminopentanoate Hydrochloride"	"Small molecule"	""	"167.64"	"1"	"1"	"0.29"	"52.32"	"3"	"1"	"0"	"3"	"Y"	"0.56"	"None"	"7.40"	"0.53"	"0.23"	"0"	"MOL"	"-1"	"9"	"3"	"2"	"0"	"131.0946"	"0.64"	"NEUTRAL"	"C6H14ClNO2"	"CCC[C@H](N)C(=O)OC.Cl"	"IODNYRVZHKRFIW-JEDNCBNOSA-N"
"CHEMBL540952"	"(CYCLOPROPYLAMINO)CARBONYLPHOSPHONIC ACID"	"(Cyclopropylamino)Carbonylphosphonic Acid"	"Small molecule"	""	"165.09"	"8"	"8"	"0.04"	"86.63"	"2"	"3"	"0"	"2"	"N"	"0.50"	"1.05"	"None"	"-0.95"	"-4.51"	"0"	"MOL"	"-1"	"10"	"5"	"3"	"0"	"165.0191"	"-0.09"	"ACID"	"C4H8NO4P"	"O=C(NC1CC1)P(=O)(O)O"	"XNEFJXZBPPJDHR-UHFFFAOYSA-N"
"CHEMBL4303518"	""	""	"Small molecule"	""	"180.24"	"2"	"4"	"0.25"	"63.30"	"3"	"2"	"0"	"2"	"N"	"0.39"	"11.71"	"4.27"	"0.45"	"0.45"	"1"	"MOL"	"-1"	"12"	"4"	"3"	"0"	"180.0470"	"-2.44"	"NEUTRAL"	"C7H8N4S"	"NC(=S)NN=Cc1ccncc1"	"QTSJJDIDTYFLFC-UHFFFAOYSA-N"
"CHEMBL1968425"	""	""	"Small molecule"	""	"172.19"	"51"	"51"	"0.80"	"97.39"	"4"	"1"	"0"	"0"	"N"	"0.58"	"None"	"1.33"	"-0.57"	"-0.57"	"0"	"MOL"	"-1"	"13"	"4"	"2"	"0"	"172.0749"	"-0.32"	"NEUTRAL"	"C9H8N4"	"CC1CC(N)=C(C#N)C1(C#N)C#N"	"NSRZKCWTDDZJCU-UHFFFAOYSA-N"
"CHEMBL2071027"	""	""	"Small molecule"	""	"189.17"	"1"	"2"	"0.97"	"68.01"	"4"	"1"	"0"	"2"	"N"	"0.76"	"3.27"	"None"	"1.26"	"-2.18"	"2"	"MOL"	"-1"	"14"	"5"	"1"	"0"	"189.0538"	"-1.50"	"ACID"	"C9H7N3O2"	"O=C(O)c1cnnn1-c1ccccc1"	"WGNBQRMKJSODLB-UHFFFAOYSA-N"
"CHEMBL1183"	"DIETHYLAMINOETHANOL"	"Diethylaminoethanol"	"Small molecule"	""	"117.19"	"6"	"9"	"0.32"	"23.47"	"2"	"1"	"0"	"4"	"N"	"0.57"	"None"	"9.55"	"0.21"	"-1.92"	"0"	"MOL"	"-1"	"8"	"2"	"1"	"0"	"117.1154"	"-1.27"	"BASE"	"C6H15NO"	"CCN(CC)CCO"	"BFSVOASYOCHEOV-UHFFFAOYSA-N"
"CHEMBL2004555"	""	""	"Small molecule"	""	"113.12"	"48"	"48"	"0.21"	"46.26"	"3"	"1"	"0"	"2"	"Y"	"0.60"	"None"	"1.14"	"-0.87"	"-0.87"	"1"	"MOL"	"-1"	"8"	"3"	"1"	"0"	"113.0477"	"0.69"	"NEUTRAL"	"C5H7NO2"	"OCCc1cnco1"	"IKJGHVPKJBNLJA-UHFFFAOYSA-N"
"CHEMBL341193"	""	""	"Small molecule"	""	"180.25"	"3"	"6"	"0.76"	"42.74"	"4"	"1"	"0"	"2"	"N"	"0.73"	"None"	"9.48"	"0.47"	"-1.59"	"1"	"MOL"	"-1"	"13"	"4"	"1"	"0"	"180.1375"	"-0.92"	"BASE"	"C9H16N4"	"CCn1ncc(C2CCCNC2)n1"	"QXJUEWHLTZHJAR-UHFFFAOYSA-N"
"CHEMBL342269"	""	""	"Small molecule"	""	"178.17"	"9"	"11"	"0.93"	"77.82"	"4"	"2"	"0"	"0"	"N"	"0.63"	"None"	"6.76"	"1.18"	"1.09"	"2"	"MOL"	"-1"	"13"	"4"	"4"	"0"	"178.0655"	"-1.40"	"NEUTRAL"	"C8H7FN4"	"Nc1nc(N)c2c(F)cccc2n1"	"ZFIDHZVBIBPRBQ-UHFFFAOYSA-N"
"CHEMBL82787"	""	""	"Small molecule"	""	"126.11"	"1"	"6"	"0.12"	"59.20"	"3"	"2"	"0"	"1"	"Y"	"0.32"	"None"	"1.71"	"-1.00"	"-1.00"	"1"	"MOL"	"-1"	"9"	"4"	"2"	"0"	"126.0429"	"-0.07"	"NEUTRAL"	"C5H6N2O2"	"[O-][n+]1ccc(NO)cc1"	"YBDYBZNGGJBBIY-UHFFFAOYSA-N"
"CHEMBL4166505"	""	""	"Small molecule"	""	"198.22"	"6"	"8"	"0.27"	"47.92"	"4"	"1"	"0"	"1"	"N"	"0.61"	"None"	"None"	"0.46"	"0.46"	"0"	"MOL"	"-1"	"14"	"4"	"1"	"0"	"198.0892"	"2.85"	"NEUTRAL"	"C10H14O4"	"C=C1[C@@H]2O[C@@H](OC)[C@@H]3[C@@H](O2)[C@@H](O)C[C@H]13"	"JTRSZZHCYCKJMH-ODCFRURGSA-N"
"CHEMBL150218"	""	""	"Small molecule"	""	"167.21"	"7"	"12"	"0.70"	"55.90"	"2"	"1"	"0"	"3"	"Y"	"0.50"	"None"	"None"	"0.21"	"0.21"	"0"	"MOL"	"-1"	"12"	"4"	"1"	"0"	"167.1059"	"-1.32"	"NEUTRAL"	"C8H13N3O"	"CCCCNC(=O)N1CC1C#N"	"JHEWULWKJGXABE-UHFFFAOYSA-N"
"CHEMBL90019"	"IMBUTAMINE"	"Imbutamine"	"Small molecule"	""	"139.20"	"6"	"29"	"0.69"	"54.70"	"2"	"2"	"0"	"4"	"N"	"0.60"	"None"	"10.21"	"0.03"	"-2.65"	"1"	"MOL"	"-1"	"10"	"3"	"3"	"0"	"139.1109"	"0.24"	"BASE"	"C7H13N3"	"NCCCCc1c[nH]cn1"	"VJSUMPPMFYQOMP-UHFFFAOYSA-N"
"CHEMBL1911953"	""	""	"Small molecule"	""	"199.25"	"1"	"2"	"0.86"	"55.40"	"3"	"1"	"0"	"5"	"N"	"0.41"	"8.10"	"None"	"1.07"	"0.99"	"0"	"MOL"	"-1"	"14"	"4"	"1"	"0"	"199.1208"	"-0.10"	"NEUTRAL"	"C10H17NO3"	"CCCCCNC(=O)C1CCOC1=O"	"MUWWMEZRHVNMRU-UHFFFAOYSA-N"
"CHEMBL3086212"	""	""	"Small molecule"	""	"133.15"	"14"	"20"	"0.97"	"30.71"	"3"	"0"	"0"	"0"	"Y"	"0.54"	"None"	"0.46"	"1.42"	"1.42"	"2"	"MOL"	"-1"	"10"	"3"	"0"	"0"	"133.0640"	"-2.23"	"NEUTRAL"	"C7H7N3"	"Cn1nnc2ccccc21"	"HXQHRUJXQJEGER-UHFFFAOYSA-N"
"CHEMBL1179498"	""	""	"Small molecule"	""	"182.22"	""	""	"0.21"	"68.25"	"4"	"2"	"0"	"3"	"N"	"0.70"	"11.92"	"10.11"	"-0.23"	"-2.67"	"1"	"MOL"	"-1"	"13"	"4"	"3"	"0"	"182.1055"	"-0.33"	"BASE"	"C9H14N2O2"	"Cc1c(O)c(=O)ccn1CCCN"	"OHQBDOJVNMHDGN-UHFFFAOYSA-N"
